rank,tier,troop_name,troop_id,defensive_role_score,defense_score_base,armor_total,effective_armor,armor_audit_sum,shield_armor,shield_hp,OneHanded,Athletics,culture,level,n_rosters,line_status
156,B,[Dunland] Turch-lûth Goreblade,dunland_boar_spearman,45.23,35.26,143.0,43.5,124.0,1.0,350.0,130.0,115.0,empire,21.0,1,main_or_minor_line
157,B,[Umbar] Abrazanim Nardutarik,umbar_elite_root000,45.19,30.77,156.0,37.14,84.8,0.8,344.0,185.0,110.0,umbar,26.0,5,main_or_minor_line
158,B,[Rohan] West Marches Veteran Spearman,rohan_westmarches_meduseld_spearman,45.16,36.86,116.0,37.7,99.0,9.0,400.0,160.0,95.0,vlandia,26.0,1,main_or_minor_line
159,B,[Umbar] Rozadan Footmen,umbar_elite_root00,45.16,29.91,156.0,37.14,84.8,0.8,288.0,135.0,105.0,umbar,21.0,5,main_or_minor_line
160,B,[Gondor] Anórien Veteran Infantry,gondor_ano_vet_infantry,45.14,36.83,143.0,41.95,121.0,1.0,520.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
161,B,[Goblin] Goblin Pike-Reaver,goblin_veteran_spear_warrior,45.11,34.29,138.0,43.5,116.0,0.7,300.0,192.0,110.0,goblin,31.0,3,main_or_minor_line
162,B,[Misty Mountains] Orc Pike-Reaver,mistymountainorcs_veteran_spear_warrior,45.11,34.29,138.0,43.5,116.0,0.7,300.0,200.0,125.0,mistymountainorcs,31.0,3,main_or_minor_line
163,B,[Rohan] Edoras Veteran Swordsman,rohan_edoras_veteran_swordsman,45.08,37.79,131.8,39.08,116.6,9.0,400.0,140.0,90.0,vlandia,21.0,5,main_or_minor_line
164,B,[Gondor] Belfalas Infantry,gondor_bel_infantry,44.93,36.56,135.0,41.55,113.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
165,B,[Dol Guldur] Uruk Warrior,dg_uruk_veteran_warrior,44.7,37.3,170.0,44.25,125.0,1.0,450.0,105.0,92.0,dolguldur,16.0,1,main_or_minor_line
166,B,[Mirkwood] Silvan Levy,mirkwood_recruit,44.55,37.1,176.0,43.95,126.0,1.0,450.0,310.0,185.0,mirkwood,36.0,1,main_or_minor_line
167,B,[Rhûn] Balcoth Veteran Axeman,balcoth_veteran_axeman,44.55,35.41,146.0,36.0,107.0,9.0,380.0,160.0,105.0,khuzait,26.0,1,main_or_minor_line
168,B,[Rhûn] Easterling Veteran Swordsman,easterling_veteran_swordsman_new,44.55,35.41,146.0,36.0,107.0,9.0,380.0,190.0,105.0,khuzait,26.0,1,main_or_minor_line
169,B,Guard,guard_rhun,44.54,37.1,179.0,46.0,139.0,1.0,360.0,80.0,50.0,khuzait,16.0,2,special_or_unlinked
170,B,[Rhûn] Wain Iron-Glaive,wain_iron_glaive,44.49,35.99,187.0,47.55,136.0,1.0,220.0,215.0,125.0,khuzait,31.0,1,main_or_minor_line
171,B,[Rhûn] Easterling Veteran Halberdier,easterling_veteran_halberdier_new,44.36,35.82,150.0,36.6,110.0,9.0,380.0,160.0,105.0,khuzait,26.0,1,main_or_minor_line
172,B,[Gondor] Lebennin Veteran Infantry,gondor_leb_vet_infantry,44.32,35.12,130.0,39.4,110.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
173,B,[Goblin] Goblin Infantry,goblin_veteran_sword_warrior,44.31,36.8,138.0,43.5,116.0,1.0,450.0,237.0,110.0,goblin,31.0,3,main_or_minor_line
174,B,[Isengard] Orc Reaver,isengard_orc_reaver,44.31,36.8,138.0,43.5,116.0,1.0,450.0,120.0,105.0,isengard,21.0,1,main_or_minor_line
175,B,[Misty Mountains] Orc Infantry,mistymountainorcs_veteran_sword_warrior,44.31,36.8,138.0,43.5,116.0,1.0,450.0,245.0,125.0,mistymountainorcs,31.0,3,main_or_minor_line
176,B,[Mordor] Orc Infantry,mordor_orc_infantry,44.31,36.8,138.0,43.5,116.0,1.0,450.0,125.0,90.0,mordor,21.0,1,main_or_minor_line
177,B,[Rohan] West-March Heavy Spearman,rohan_westmarches_veteran_spearman,44.31,35.75,101.0,36.05,87.0,9.0,400.0,110.0,90.0,vlandia,21.0,1,main_or_minor_line
178,B,[Isengard] Uruk-Hai Warrior,urukhai_warrior,44.28,36.76,162.0,41.15,127.0,1.0,550.0,100.0,90.0,isengard,16.0,1,main_or_minor_line
179,B,Guard,guard_rohan,44.26,36.03,130.0,36.47,114.0,9.0,400.0,,,vlandia,,3,special_or_unlinked
180,B,[Gondor] Osgiliath Infantry,gondor_osg_infantry,44.13,36.56,135.0,41.55,113.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
181,B,[Erebor] Warrior,erebor_reg_warrior,44.03,30.09,137.2,38.96,99.6,0.8,220.0,240.0,130.0,erebor,31.0,5,main_or_minor_line
182,B,[Gondor] Anórien Infantry,gondor_ano_infantry,44.03,35.38,138.0,39.8,118.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
183,B,[Mordor] Black Uruk Shieldbearer,mordor_uruk_shieldbearer,44.02,35.38,127.6,37.96,99.0,1.0,600.0,202.0,110.0,mordor,26.0,5,main_or_minor_line
184,B,[Goblin] Goblin Ravager,goblin_brute,44.01,36.8,138.0,43.5,116.0,1.0,450.0,167.0,90.0,goblin,26.0,1,main_or_minor_line
185,B,[Misty Mountains] Orc Ravager,mistymountainorcs_brute,44.01,36.8,138.0,43.5,116.0,1.0,450.0,175.0,105.0,mistymountainorcs,26.0,1,main_or_minor_line
186,B,[Dunland] Blaidd-lûth Raider,dunland_wolf_raider,43.61,34.59,129.0,42.5,110.0,1.0,350.0,130.0,115.0,empire,21.0,1,main_or_minor_line
187,B,[Goblin] Bolg's Ironfang,goblin_bolgs_ironfang,43.6,36.8,138.0,43.5,116.0,1.0,450.0,262.0,130.0,goblin,36.0,1,main_or_minor_line
188,B,[Goblin] Goblin Mountain Guard,goblin_chosen_of_tharzog,43.6,36.8,138.0,43.5,116.0,1.0,450.0,262.0,130.0,goblin,36.0,1,main_or_minor_line
189,B,[Misty Mountains] Bolg's Ironfang,mistymountainorcs_bolgs_ironfang,43.6,36.8,138.0,43.5,116.0,1.0,450.0,270.0,145.0,mistymountainorcs,36.0,1,main_or_minor_line
190,B,[Misty Mountains] Orc Mountain Guard,mistymountainorcs_chosen_of_tharzog,43.6,36.8,138.0,43.5,116.0,1.0,450.0,270.0,145.0,mistymountainorcs,36.0,1,main_or_minor_line
191,B,[Rohan] Westfold Veteran Axeman,rohan_westfold_veteran_axeman,43.21,35.75,101.0,36.05,87.0,9.0,400.0,110.0,90.0,vlandia,21.0,1,main_or_minor_line
192,B,[Gondor] Ithil Guard Sergeant,gondor_ith_sergeant,43.13,30.76,143.0,42.35,119.0,0.3,133.3,280.0,145.0,gondor,36.0,3,main_or_minor_line
193,B,[Dunland] Blaidd-lûth Warrior,dunland_clan_warrior,43.12,33.95,138.0,42.7,121.0,1.0,300.0,95.0,100.0,empire,16.0,1,main_or_minor_line
194,B,[Dunland] Turch-lûth Tuskrunner,dunland_boar_warrior,43.12,33.95,138.0,42.7,121.0,1.0,300.0,95.0,100.0,empire,16.0,1,main_or_minor_line
195,B,[Gondor] Pinnath Gelin Spearman,gondor_pg_spearman,43.04,34.1,135.0,41.55,113.0,1.0,360.0,120.0,100.0,gondor,21.0,1,main_or_minor_line
196,B,[Gondor] Anfalas Guardsman,gondor_anf_guardsman,43.02,35.12,130.0,39.4,110.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
197,B,[Gondor] Cair Andros Infantry,gondor_ca_infantry,43.02,35.12,130.0,39.4,110.0,1.0,520.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
198,B,[Gondor] Osgiliath Skirmisher,gondor_osg_skirmisher,42.82,34.85,122.0,39.0,102.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
199,B,[Gondor] Lossarnach Veteran Axebearer,gondor_loss_vet_axebearer,42.72,35.12,130.0,39.4,110.0,1.0,520.0,120.0,100.0,gondor,21.0,6,main_or_minor_line
200,B,[Harad] Champion,harad_champion,42.63,34.61,149.0,42.3,117.0,1.0,360.0,235.0,120.0,aserai,31.0,1,main_or_minor_line
201,B,[Gondor] Linhir Footman,gondor_lin_footman,42.37,33.23,124.0,36.6,106.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
202,B,[Gondor] Pelargir Skirmisher,gondor_pel_skirmisher,42.37,33.23,124.0,36.6,106.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
203,B,[Gondor] Ringlo Vale Guardsman,gondor_ring_guardsman,42.37,33.23,124.0,36.6,106.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
204,B,[Gondor] Lebennin Infantry,gondor_leb_infantry,42.36,32.56,110.0,35.6,92.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
205,B,[Rohan] Westfold Helmingas Axeman,rohan_westfold_helmingas_axeman,42.3,34.57,109.0,33.15,92.0,9.0,450.0,160.0,95.0,vlandia,26.0,1,main_or_minor_line
206,B,[Iron Hills] Company,iron_hills_reg_company,42.28,27.92,114.2,31.44,78.6,0.8,408.0,140.0,105.0,erebor,21.0,5,main_or_minor_line
207,B,[Erebor] Fighter,erebor_reg_fighter,42.25,28.21,124.0,36.18,93.2,0.8,220.0,185.0,110.0,erebor,26.0,5,main_or_minor_line
208,B,[Rohan] West-March Spearman,rohan_westmarches_spearman,41.96,32.69,100.0,31.5,83.0,9.0,400.0,75.0,75.0,vlandia,16.0,1,main_or_minor_line
209,B,[Rivendell] Militia Spearman,rivendell_militia_spearman,41.91,28.62,108.17,24.49,58.2,7.5,500.0,145.0,130.0,rivendell,11.0,6,special_or_unlinked
210,B,[Gondor] Lossarnach Noble Veteran,gondor_loss_noble_veteran,41.89,34.04,122.0,37.8,102.0,1.0,520.0,150.0,100.0,gondor,21.0,1,main_or_minor_line
211,B,[Isengard] Uruk-Hai Fighter,urukhai_fighter,41.75,33.46,139.0,36.25,111.0,1.0,550.0,70.0,58.0,isengard,11.0,1,main_or_minor_line
212,B,[Dunland] Wild-man Spearman,dunland_veteran_spearman,41.71,30.67,124.0,34.85,95.0,1.0,430.0,115.0,115.0,empire,21.0,1,main_or_minor_line
213,B,[Mordor] Black Uruk Infantry,mordor_uruk_infantry,41.71,33.4,140.5,38.74,112.4,1.0,437.5,187.0,110.0,mordor,26.0,8,main_or_minor_line
214,B,[Gondor] Anórien Guardsman,gondor_ano_guardsman,41.58,33.23,124.0,36.6,106.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
215,B,[Gondor] Arndir Noble,gondor_arn_noble_t4,41.58,33.23,124.0,36.6,106.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
216,B,[Gondor] Calembel Noble,gondor_cal_noble,41.58,33.23,124.0,36.6,106.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
217,B,[Gondor] Methir Noble,gondor_met_noble,41.58,33.23,124.0,36.6,106.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
218,B,[Rohan] Meduseld Spearman,rohan_edoras_meduseld_spearman,41.56,32.17,103.0,30.72,86.6,9.0,400.0,75.0,75.0,vlandia,16.0,5,main_or_minor_line
219,B,[Gondor] Gondor Veteran Militia Spearman,gondor_militia_veteran_spearman,41.44,32.02,102.0,34.8,84.0,1.0,520.0,120.0,100.0,gondor,16.0,1,special_or_unlinked
220,B,[Gondor] Cair Andros Veteran,gondor_ca_veteran,41.37,32.96,116.0,36.2,98.0,1.0,520.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
221,B,[Rohan] Edoras Swordsman,rohan_edoras_swordsman,41.31,32.89,110.8,31.79,93.8,9.0,400.0,105.0,75.0,vlandia,16.0,5,main_or_minor_line
222,B,[Mirkwood] Militia Veteran Spearman,mirkwood_militia_veteran_spearman,41.25,27.49,134.5,32.46,96.5,0.8,337.5,150.0,140.0,mirkwood,16.0,4,special_or_unlinked
223,B,[Gondor] Harondor Footman,gondor_har_footman,41.06,32.56,110.0,35.6,92.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
224,B,[Gondor] Linhir Noble,gondor_lin_noble,41.03,31.48,102.0,34.0,84.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
225,B,[Gondor] Ringlo Vale Footman,gondor_ring_footman,41.03,31.48,102.0,34.0,84.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
226,B,[Rohan] Westfolders,rohan_westfold_axeman,40.86,32.69,100.0,31.5,83.0,9.0,400.0,75.0,75.0,vlandia,16.0,1,main_or_minor_line
227,B,[Dale] Militia Spearman,dale_militia_spearman,40.69,31.04,77.0,23.5,65.0,14.0,450.0,115.0,100.0,sturgia,6.0,1,main_or_minor_line
228,B,[Gondor] Gondor Militia Spearman,gondor_militia_spearman,40.62,30.94,94.0,33.2,76.0,1.0,520.0,120.0,100.0,gondor,11.0,1,special_or_unlinked
229,B,[Gondor] Ithil Guard Veteran,gondor_ith_veteran,40.52,26.12,120.0,34.55,103.0,0.3,173.3,240.0,125.0,gondor,31.0,3,main_or_minor_line
230,B,[Gondor] Anórien Footman,gondor_ano_footman,40.44,31.75,110.0,34.4,92.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
231,B,[Gondor] Dol Amroth Footman,gondor_da_footman,40.4,31.69,124.0,36.6,106.0,1.0,420.0,135.0,100.0,gondor,21.0,1,main_or_minor_line
232,B,[Dale] Dalian Levy,dale_squire,40.29,31.04,77.0,23.5,65.0,14.0,450.0,65.0,53.0,sturgia,11.0,2,main_or_minor_line
233,B,[Dale] Lake-Town Militia,dale_militia,40.29,31.04,77.0,23.5,65.0,14.0,450.0,65.0,53.0,sturgia,11.0,2,main_or_minor_line
234,B,[Gondor] Anfalas Footman,gondor_anf_footman,40.23,31.48,102.0,34.0,84.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
235,B,[Gondor] Arndir Noble,gondor_arn_noble,40.23,31.48,102.0,34.0,84.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
236,B,[Gondor] Harondor Militia,gondor_har_militia,40.23,31.48,102.0,34.0,84.0,1.0,520.0,70.0,53.0,gondor,11.0,1,main_or_minor_line
237,B,[Erebor] Longbeard,erebor_noble_longbeard,40.03,31.62,126.5,36.95,95.9,1.0,400.0,135.0,105.0,erebor,21.0,4,main_or_minor_line
238,B,[Rhûn] Easterling Halberdier,easterling_halberdier_new,40.02,30.16,140.0,35.7,101.0,1.0,360.0,110.0,100.0,khuzait,21.0,1,main_or_minor_line
239,B,[Isengard] Orc Marauder,isengard_orc_marauder,39.92,31.08,116.0,35.0,98.0,1.0,450.0,100.0,90.0,isengard,16.0,1,main_or_minor_line
240,B,[Mordor] Morannon Infantry,morannon_infantry,39.92,31.08,116.0,35.0,98.0,1.0,450.0,125.0,90.0,mordor,21.0,1,main_or_minor_line
241,B,[Dunland] Wild-man Swordman,dunland_veteran_swordman,39.9,29.36,98.0,32.9,82.0,1.0,430.0,145.0,115.0,empire,21.0,1,main_or_minor_line
242,B,[Dunland] Uch-lûth Pikeman,dunland_ox_pikeman,39.74,32.7,123.0,39.7,106.0,1.0,350.0,115.0,115.0,empire,21.0,1,main_or_minor_line
243,B,[Rohan] Militia Veteran Spearman,rohan_militia_veteran_spearman,39.71,29.76,91.33,27.15,77.8,9.0,400.0,110.0,90.0,vlandia,16.0,3,special_or_unlinked
244,B,[Goblin] Goblin Raider,goblin_fighter,39.62,31.08,116.0,35.0,98.0,1.0,450.0,117.0,85.0,goblin,21.0,1,main_or_minor_line
245,B,[Misty Mountains] Orc Raider,mistymountainorcs_fighter,39.62,31.08,116.0,35.0,98.0,1.0,450.0,125.0,100.0,mistymountainorcs,21.0,1,main_or_minor_line
246,B,[Iron Hills] Militia,iron_hills_reg_militia,39.51,25.03,99.6,27.15,68.8,0.8,408.0,105.0,90.0,erebor,16.0,5,main_or_minor_line
247,B,[Erebor] Militia Veteran Spearman,erebor_militia_veteran_spearman,39.44,22.8,93.75,26.35,76.7,0.8,300.0,120.0,105.0,erebor,16.0,4,special_or_unlinked
248,B,[Isengard] Orc Warrior,isengard_orc_warrior,39.43,30.43,96.0,31.75,81.0,1.0,550.0,70.0,58.0,isengard,11.0,1,main_or_minor_line
249,B,[Gondor] Ithil Guard Watcher,gondor_ith_watcher,39.38,24.64,102.0,32.35,87.0,0.3,173.3,185.0,105.0,gondor,26.0,3,main_or_minor_line
250,B,[Rhûn] Far-Rhun Infantry,far_rhun_infantry,39.38,30.37,146.0,36.0,107.0,1.0,360.0,125.0,100.0,khuzait,21.0,1,main_or_minor_line
251,B,[Iron Hills] Recruit,iron_hills_reg_recruit,39.33,24.83,98.8,26.86,68.4,0.8,408.0,75.0,58.0,erebor,11.0,5,main_or_minor_line
252,B,[Gondor] Pinnath Gelin Footman,gondor_pg_footman,39.14,29.02,102.0,34.0,84.0,1.0,360.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
253,B,[Gondor] Citadel Guard Veteran,gondor_mt_veteran,39.1,30.0,120.0,34.55,103.0,1.0,400.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
254,B,[Gondor] Belfalas Soldier,gondor_bel_soldier,39.07,29.97,96.0,31.75,81.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
255,B,[Gondor] Dol Amroth Noble,gondor_da_noble,39.05,29.94,102.0,34.0,84.0,1.0,420.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
256,B,[Mordor] Morannon Warrior,morannon_warrior,38.74,29.54,116.0,35.0,98.0,1.0,350.0,90.0,75.0,mordor,16.0,1,main_or_minor_line
257,B,[Rhûn] Wain Glaiveman,wain_glaiveman,38.6,28.31,142.0,36.15,103.0,1.0,220.0,160.0,105.0,khuzait,26.0,1,main_or_minor_line
258,B,[Gundabad] Pale Uruk Raider,gundabad_fighter,38.46,29.56,130.0,32.75,85.0,1.0,450.0,125.0,100.0,gundabad,21.0,1,main_or_minor_line
259,B,[Mordor] Orc Warrior,mordor_orc_warrior,38.44,29.54,116.0,35.0,98.0,1.0,350.0,90.0,75.0,mordor,16.0,1,main_or_minor_line
260,B,[Goblin] Militia Veteran Spearman,goblin_militia_veteran_spearman,38.38,24.86,90.5,28.55,79.0,0.8,337.5,102.0,85.0,goblin,16.0,4,special_or_unlinked
261,B,[Misty Mountains] Militia Veteran Spearman,mistymountainorcs_militia_veteran_spearman,38.38,24.86,90.5,28.55,79.0,0.8,337.5,110.0,100.0,mistymountainorcs,16.0,4,special_or_unlinked
262,B,[Dol Guldur] Shadow Initiate,dg_khamul_shadow_initiate,38.35,29.96,106.0,27.9,76.0,9.0,380.0,140.0,107.0,dolguldur,21.0,3,main_or_minor_line
263,B,Guard,guard_mirkwood,38.27,27.88,145.0,30.25,110.0,1.0,450.0,80.0,50.0,mirkwood,16.0,2,special_or_unlinked
264,B,[Mirkwood] Militia Spearman,mirkwood_militia_spearman,38.26,26.71,110.75,31.3,83.3,0.8,337.5,150.0,140.0,mirkwood,11.0,4,special_or_unlinked
265,C,[Dunland] Blaidd-lûth Noble Son,dunland_noble_son,38.03,27.32,107.0,32.85,98.0,1.0,300.0,65.0,68.0,empire,11.0,1,main_or_minor_line
266,C,[Dunland] Turch-lûth Noble Son,dunland_boar_noble_son,38.03,27.32,107.0,32.85,98.0,1.0,300.0,65.0,68.0,empire,11.0,1,main_or_minor_line
267,C,Rhun Veteran Caravan Guard,veteran_caravan_guard_rhun,38.01,28.58,141.0,33.35,103.0,1.0,360.0,130.0,60.0,khuzait,21.0,1,special_or_unlinked
268,C,[Gondor] Ringlo Vale Militia,gondor_ring_militia,37.93,27.44,86.0,28.0,76.0,1.0,520.0,70.0,53.0,gondor,11.0,1,main_or_minor_line
269,C,[Harad] Footman,harad_footman,37.88,28.41,121.0,33.1,94.0,1.0,360.0,130.0,95.0,aserai,21.0,1,main_or_minor_line
270,C,[Harad] Spear Guard,harad_spearguard,37.88,28.41,121.0,33.1,94.0,1.0,360.0,115.0,95.0,aserai,21.0,1,main_or_minor_line
271,C,[Erebor] Noble,erebor_noble,37.87,28.79,114.0,32.75,89.0,1.0,400.0,100.0,90.0,erebor,16.0,4,main_or_minor_line
272,C,Mordor Militia Veteran Spearman,mordor_militia_veteran_spearman,37.86,23.12,96.0,25.98,75.0,0.8,337.5,110.0,90.0,mordor,16.0,4,special_or_unlinked
273,C,[Rhûn] Balcoth Axeman,balcoth_axeman,37.83,28.35,131.0,33.0,95.0,1.0,360.0,110.0,100.0,khuzait,21.0,1,main_or_minor_line
274,C,[Rhûn] Easterling Swordsman,easterling_swordsman_new,37.83,28.35,131.0,33.0,95.0,1.0,360.0,140.0,100.0,khuzait,21.0,1,main_or_minor_line
275,C,[Rhûn] Far-Rhun Footman,far_rhun_footman,37.83,28.35,131.0,33.0,95.0,1.0,360.0,90.0,85.0,khuzait,16.0,1,main_or_minor_line
276,C,[Gondor] Citadel Guard Trainee,gondor_mt_trainee,37.76,28.25,98.0,31.95,81.0,1.0,400.0,185.0,105.0,gondor,26.0,1,main_or_minor_line
277,C,Guard,guard_goblin,37.62,27.04,100.0,29.0,90.0,1.0,450.0,80.0,50.0,goblin,16.0,2,special_or_unlinked
278,C,Guard,guard_mistymountainorcs,37.62,27.04,100.0,29.0,90.0,1.0,450.0,80.0,50.0,mistymountainorcs,16.0,2,special_or_unlinked
279,C,[Erebor] Company,erebor_reg_company,37.62,23.39,95.6,29.01,76.6,0.8,220.0,135.0,105.0,erebor,21.0,5,main_or_minor_line
280,C,[Rohan] Edoras Militia,rohan_edoras_militia,37.48,26.85,83.0,22.83,69.0,9.0,400.0,60.0,43.0,vlandia,11.0,5,main_or_minor_line
281,C,[Rohan] West-March Guardsman,rohan_westmarches_guardsman,37.39,26.73,79.0,22.65,65.0,9.0,400.0,60.0,43.0,vlandia,11.0,1,main_or_minor_line
282,C,[Gondor] Lossarnach Noble,gondor_loss_noble,37.35,28.11,100.0,29.0,90.0,1.0,520.0,110.0,85.0,gondor,16.0,1,main_or_minor_line
283,C,[Rhûn] Sagarûn Watchman,sagarun_watchman,37.22,27.55,117.5,31.83,85.0,1.0,360.0,90.0,85.0,khuzait,16.0,2,main_or_minor_line
284,C,[Gondor] Lossarnach Axebearer,gondor_loss_axebearer,36.83,27.44,86.0,28.0,76.0,1.0,520.0,85.0,85.0,gondor,16.0,6,main_or_minor_line
285,C,Guard,guard_erebor,36.82,27.43,136.0,34.15,125.0,1.0,250.0,80.0,50.0,erebor,16.0,2,special_or_unlinked
286,C,[Rohan] Edoras Recruit,rohan_edoras_recruit,36.65,25.78,64.4,21.23,50.4,9.0,400.0,28.0,28.0,vlandia,6.0,5,main_or_minor_line
287,C,[Rohan] Westfold Militiaman,rohan_westfold_militiaman,36.28,26.73,79.0,22.65,65.0,9.0,400.0,60.0,43.0,vlandia,11.0,1,main_or_minor_line
288,C,Rhun Caravan Guard,caravan_guard_rhun,36.2,26.23,137.0,29.85,110.0,1.0,360.0,100.0,50.0,khuzait,16.0,1,special_or_unlinked
289,C,[Umbar] Auxiliary Recruit,aux_basic,36.02,21.21,68.6,22.19,59.0,5.6,192.0,38.0,43.0,umbar,6.0,5,special_or_unlinked
290,C,[Gondor] Osgiliath Veteran,gondor_osg_veteran,36.0,25.96,86.0,25.8,78.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
291,C,[Dale] Lake-Town Peasant,dale_recruit,35.85,25.25,40.0,14.9,34.0,14.0,450.0,33.0,38.0,sturgia,6.0,2,main_or_minor_line
292,C,[Harad] Spear Fighter,harad_spearfighter,35.79,25.69,111.0,29.05,86.0,1.0,360.0,80.0,80.0,aserai,16.0,1,main_or_minor_line
293,C,[Harad] Sword Fighter,harad_swordfighter,35.79,25.69,111.0,29.05,86.0,1.0,360.0,110.0,80.0,aserai,16.0,2,main_or_minor_line
294,C,[Rhûn] Dragon-Wrath Acolyte,dragon_wrath_acolyte,35.79,26.63,124.0,30.45,89.0,1.0,360.0,125.0,100.0,khuzait,21.0,1,main_or_minor_line
295,C,[Rhûn] Loke-Rim Initiate,loke_rim_initiate,35.79,26.63,124.0,30.45,89.0,1.0,360.0,90.0,85.0,khuzait,16.0,1,main_or_minor_line
296,C,[Gundabad] Militia Veteran Spearman,gundabad_militia_veteran_spearman,35.77,21.16,97.5,23.06,63.8,0.8,337.5,110.0,100.0,gundabad,16.0,4,special_or_unlinked
297,C,[Mordor] Nurn Warg Rider,mordor_warg_rider,35.73,26.0,85.0,29.75,72.0,1.0,350.0,28.0,28.0,mordor,6.0,1,main_or_minor_line
298,C,[Mordor] Black Uruk Fighter,mordor_uruk_fighter,35.59,25.43,110.0,28.9,88.0,1.0,350.0,102.0,90.0,mordor,16.0,1,main_or_minor_line
299,C,[Mordor] Black Uruk Grunt,mordor_uruk_grunt,35.59,17.66,100.2,25.64,84.8,0.1,23.3,72.0,58.0,mordor,11.0,15,main_or_minor_line
300,C,[Mordor] Black Uruk Warrior,mordor_uruk_warrior,35.3,25.05,108.18,29.11,92.2,1.0,315.9,137.0,105.0,mordor,21.0,11,main_or_minor_line
301,C,[Dol Guldur] Orc Warrior,dg_orc_warrior,35.29,24.21,131.0,24.8,101.0,1.0,450.0,105.0,92.0,dolguldur,16.0,5,main_or_minor_line
302,C,Dol Guldur Militia Veteran Spearman,dolguldur_militia_veteran_spearman,35.08,20.61,117.5,22.25,87.5,0.8,337.5,125.0,107.0,dolguldur,16.0,4,special_or_unlinked
303,C,[Isengard] Militia Veteran Spearman,isengard_militia_veteran_spearman,34.93,16.95,82.0,18.45,58.0,0.5,275.0,120.0,105.0,isengard,16.0,2,main_or_minor_line
304,C,Guard,guard_dolguldur,34.65,23.17,125.0,23.25,95.0,1.0,450.0,80.0,50.0,dolguldur,16.0,2,special_or_unlinked
305,C,[Gondor] Belfalas Footman,gondor_bel_footman,34.53,24.04,74.0,22.95,69.0,1.0,520.0,70.0,53.0,gondor,11.0,1,main_or_minor_line
306,C,Guard,guard_isengard,34.45,23.95,99.0,22.12,74.5,1.0,550.0,80.0,50.0,isengard,16.0,4,special_or_unlinked
307,C,Isengard Veteran Caravan Guard,veteran_caravan_guard_isengard,34.4,23.88,98.0,22.02,73.5,1.0,550.0,130.0,60.0,isengard,21.0,2,special_or_unlinked
308,C,[Rohan] Militia Spearman,rohan_militia_spearman,34.39,22.83,48.67,16.85,37.4,9.0,400.0,110.0,90.0,vlandia,11.0,3,special_or_unlinked
309,C,[Isengard] Orc Brawler,isengard_orc_brawler,33.95,23.29,65.0,21.15,60.0,1.0,550.0,38.0,43.0,isengard,6.0,1,main_or_minor_line
310,C,[Rhûn] Wain Footman,wain_footman,33.85,22.12,107.0,26.95,77.0,1.0,220.0,125.0,100.0,khuzait,21.0,1,main_or_minor_line
311,C,Isengard Caravan Guard,caravan_guard_isengard,33.78,23.07,92.5,20.82,68.0,1.0,550.0,100.0,50.0,isengard,16.0,2,special_or_unlinked
312,C,Guard,guard_gundabad,33.75,21.99,100.0,21.5,70.0,1.0,450.0,80.0,50.0,gundabad,16.0,2,special_or_unlinked
313,C,[Rhûn] Militia Spearman,rhun_militia_spearman,33.67,21.88,91.0,23.4,69.0,1.0,360.0,110.0,100.0,khuzait,11.0,2,main_or_minor_line
314,C,[Rhûn] Militia Veteran Spearman,rhun_militia_veteran_spearman,33.54,21.72,97.0,23.15,73.0,1.0,360.0,110.0,100.0,khuzait,16.0,1,main_or_minor_line
315,C,Guard,guard_gondor,33.11,22.19,78.0,20.2,78.0,1.0,520.0,80.0,50.0,gondor,16.0,2,special_or_unlinked
